Semester,Division,Dept,Num,CourseName,CourseLevel,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
Spring, College of Fine Arts,ARC,48792,PHD INDEP STUDY,Graduate,19.5,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,ARC,48793,PHD THESIS,Graduate,24,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,ARC,48797,PHD DISSERTATION DEF,Graduate,27,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,ARC,48798,HVAC & PS LOW CARB B,Graduate,6.29,5,4.86,4.71,5,4.86,4.71,4.57,4.86,4.86
Fall, College of Fine Arts,ART,60101,CONCEPT: SELF/HUMAN,Undergraduate,10.55,4.52,3.94,4.06,4.42,4.23,4,4.29,4.03,4.16
Fall, College of Fine Arts,ART,60105,CRITICAL THEORY I,Undergraduate,5.71,4.43,4.33,4.05,4.1,4.57,4.43,4.57,4.33,4.14
Spring, College of Fine Arts,ART,60106,CRITICAL THEORY II,Undergraduate,5.23,4.67,4.5,4.58,4.42,4.75,4.42,4.83,4.5,4.25
Spring, College of Fine Arts,ART,60110,EMS MOVING IMAGE,Undergraduate,9.14,3.41,3.64,3.64,3.14,3.64,3.68,3.41,3.32,3.45
Spring, College of Fine Arts,ART,60125,INTRO TO 3D ANIMATN,Undergraduate,11.39,4.56,4.22,4.47,4.41,4.76,4.44,4.67,4.44,4.5
Fall, College of Fine Arts,ART,60131,3D MEDIA STUDIO I,Undergraduate,11.88,4.62,4.33,4.52,4.74,4.17,4.52,4.78,4.5,4.35
Spring, College of Fine Arts,ART,60131,3D MEDIA STUDIO I,Undergraduate,10.42,4.68,4.32,4.53,4.47,4.53,4.58,4.79,4.68,4.74
Spring, College of Fine Arts,ART,60131,3D MEDIA STUDIO II,Undergraduate,10.36,4.71,4.5,4.79,4.57,4.57,4.64,4.71,4.5,4.43
Fall, College of Fine Arts,ART,60132,3D MEDIA STUDIO I,Undergraduate,7.14,4.38,4.48,4.38,4.33,4.43,4.43,4.71,4.48,4.52
Fall, College of Fine Arts,ART,60141,B & W PHOTOGRAPHY I,Undergraduate,12.5,4.5,5,4.5,4.5,4.5,4.5,4.5,4,5
Spring, College of Fine Arts,ART,60141,B & W PHOTOGRAPHY I,Undergraduate,9.2,4.8,4.6,4.4,4.4,4.6,4.4,4.8,4.4,4.6
Fall, College of Fine Arts,ART,60142,DIGITAL PHOTOGRPHY I,Undergraduate,10.25,4.75,4,3.75,4.5,4,4.5,5,4.25,4.25
Spring, College of Fine Arts,ART,60142,DIGITAL PHOTOGRPHY I,Undergraduate,8.6,4,4,3.8,4,3.6,3.6,4.2,3.8,3.8
Fall, College of Fine Arts,ART,60145,PHOTOJOURNALISM,Undergraduate,9.5,5,5,5,5,5,5,5,5,5
Fall, College of Fine Arts,ART,60150,2D MDA STD: DRAWING,Undergraduate,10.35,4.54,4.35,4.38,4.54,4.62,4.58,4.77,4.38,4.5
Fall, College of Fine Arts,ART,60157,DRAWING NON-MAJORS,Undergraduate,11,4.89,4.89,5,4.67,4.89,5,4.67,4.78,4.89
Spring, College of Fine Arts,ART,60157,DRAWING NON-MAJORS,Undergraduate,8.6,4.7,4.5,4.6,4.1,4.4,4.6,4.7,4.6,4.6
Spring, College of Fine Arts,ART,60160,2D MDA STD: IMAGING,Undergraduate,10.44,4.56,3.69,3.56,4.19,4.38,3.81,4.75,4,4.25
Fall, College of Fine Arts,ART,60201,CONCEPT: SPACE&TIME,Undergraduate,9.19,4.62,4.06,4.06,4.56,4.19,4.19,4.69,4.31,4.19
Fall, College of Fine Arts,ART,60202,CONCEPT: SYSTEM/PROC,Undergraduate,9.8,4.4,4.4,4.2,4.6,4.2,4,4.4,4.2,4
Fall, College of Fine Arts,ART,60205,CRITICAL THEORY III,Undergraduate,7.14,3.93,3.21,3.93,3.57,4.36,4.07,4.07,3.79,3.57
Spring, College of Fine Arts,ART,60206,CRITICAL THEORY IV,Undergraduate,6.5,4.67,4.37,4.42,4.08,4.75,4.58,4.58,4.54,4.29
Fall, College of Fine Arts,ART,60208,ALTERNATIVE PHOTO,Undergraduate,11,5,4,4,5,3,4,3,4,4
Fall, College of Fine Arts,ART,60210,EMS: INTERACTIVITY,Undergraduate,9.33,4.33,4.22,4,4.22,4.44,3.89,4.78,4.11,3.89
Fall, College of Fine Arts,ART,60212,COMP FOR CREATIVE PR,Undergraduate,11.5,4.92,4.85,4.85,4.85,4.85,4.54,4.69,4.92,4.85
Fall, College of Fine Arts,ART,60214,PHOTO NARRATIVE/PLAC,Undergraduate,7,4,3.33,4,3.33,3.67,3.67,3,3.67,3.33
Fall, College of Fine Arts,ART,60218,REAL-TIME ANIMATION,Undergraduate,10.4,5,4,4.2,4.4,4.2,4,5,4.2,4.2
